photo,local_time,utc_time,lat,lon,leg,control_hint,from_point,fraction_on_leg,leg_distance_m,map_mm_from_start,along_m,lateral_m,lateral_signed_m
IMG_00_368-FP.jpg,2025-09-19T16:54:33+02:00,2025-09-19T14:54:33+00:00,46.61753342952579,16.210723319090903,TP7-FP,FP,TP7,1.0,16178.294519834251,80.89147259917125,133521.12940541535,2114.492373222078,-2114.492373222078
IMG_Banovci_SP_NO_155111_00_040.jpg,2025-09-19T15:51:16+02:00,2025-09-19T13:51:16+00:00,46.569760562852025,16.16693504154682,SP-TP1,SP,SP,0.3168484242562355,3575.835204593499,17.879176022967496,3575.835204593499,404.79715406664656,-404.79715406664656
IMG__155133_00_042veržej.jpg,2025-09-19T15:51:39+02:00,2025-09-19T13:51:39+00:00,46.562663773074746,16.16506000980735,SP-TP1,,SP,0.38791181723411094,4377.830616010315,21.889153080051575,4377.830616010315,413.4776638250282,-413.4776638250282
IMG__155547_00_064 TP1.jpg,2025-09-19T15:55:53+02:00,2025-09-19T13:55:53+00:00,46.50127756409347,16.15946819074452,SP-TP1,TP1,SP,0.9905368955175589,11178.836412883735,55.89418206441867,11178.836412883735,311.1599663744279,311.1599663744279
IMG__155940_00_084 terme nedelja.jpg,2025-09-19T15:59:45+02:00,2025-09-19T13:59:45+00:00,46.514231376349926,16.04622658342123,TP1-TP2,,TP1,0.7460587266839763,8468.194125015283,42.340970625076416,19753.827667259822,307.8932258379527,-307.8932258379527
IMG__160111_00_092 TP2.jpg,2025-09-19T16:01:17+02:00,2025-09-19T14:01:17+00:00,46.51681652292609,16.000538421794772,TP1-TP2,TP2,TP1,1.0,11350.5731146046,56.752865573023,22636.206656849135,626.5152312509902,-626.5152312509902
IMG__160450_00_111.jpg,2025-09-19T16:04:56+02:00,2025-09-19T14:04:56+00:00,46.57175675500184,16.04423101991415,TP2-TP3,,TP2,0.5610308665569647,6865.97057393371,34.32985286966855,29502.177230782843,148.96469932760158,-148.96469932760158
IMG__160708_00_123 tp3.jpg,2025-09-19T16:07:14+02:00,2025-09-19T14:07:14+00:00,46.616729269735515,16.074871947057545,TP2-TP3,TP3,TP2,1.0,12238.133377705286,61.19066688852643,34874.34003455442,443.5708537731279,-443.5708537731279
IMG__161035_00_141.jpg,2025-09-19T16:10:40+02:00,2025-09-19T14:10:40+00:00,46.672325218096375,16.06575616635382,TP3-TP4,,TP3,0.2982481646076886,6141.305980591324,30.70652990295662,41015.64601514574,485.1031275182419,-485.1031275182419
IMG__161630_00_172 TP4.jpg,2025-09-19T16:16:35+02:00,2025-09-19T14:16:35+00:00,46.80166628211737,16.040352461859584,TP4-TP5,TP4,TP4,0.013444652001657802,283.10169088843566,1.4155084544421783,55748.70333025277,40.40724921624743,40.40724921624743
IMG__161904_00_185.jpg,2025-09-19T16:19:10+02:00,2025-09-19T14:19:10+00:00,46.804329715669155,16.089711729437113,TP4-TP5,,TP4,0.19124148383633738,4026.9385503919834,20.134692751959918,59492.54018975632,385.5316948981656,-385.5316948981656
IMG__162319_00_207.jpg,2025-09-19T16:23:25+02:00,2025-09-19T14:23:25+00:00,46.819378500804305,16.216762019321322,TP4-TP5,,TP4,0.6570928273806868,13836.288992768095,69.18144496384048,69301.89063213243,587.4918992469565,-587.4918992469565
IMG__162634_00_224 TP5.jpg,2025-09-19T16:26:39+02:00,2025-09-19T14:26:39+00:00,46.83567644096911,16.312722070142627,TP4-TP5,TP5,TP4,1.0,21056.825483733428,105.28412741866714,76522.42712309776,355.92033391536756,-355.92033391536756
IMG__162827_00_234.jpg,2025-09-19T16:28:33+02:00,2025-09-19T14:28:33+00:00,46.823614379391074,16.276538986712694,TP5-TP6,,TP5,0.26597388566470537,2811.217651522944,14.05608825761472,79333.64477462071,451.15855063120665,-451.15855063120665
IMG__162959_00_242.jpg,2025-09-19T16:30:05+02:00,2025-09-19T14:30:05+00:00,46.803779024630785,16.2454982008785,TP5-TP6,,TP5,0.5714303480090847,6039.747386945094,30.19873693472547,82562.17451004285,309.7388222383368,-309.7388222383368
IMG__163206_00_253 TP6.jpg,2025-09-19T16:32:11+02:00,2025-09-19T14:32:11+00:00,46.77588782273233,16.19872072711587,TP5-TP6,TP6,TP5,1.0,10569.525066332448,52.847625331662236,87091.95218943022,327.8520357424804,-327.8520357424804
IMG__163550_00_272.jpg,2025-09-19T16:35:56+02:00,2025-09-19T14:35:56+00:00,46.71525942161679,16.25319706276059,TP6-TP7,,TP6,0.25321928387830805,7660.106853006027,38.30053426503014,94752.05904243625,678.3209685683076,-678.3209685683076
IMG__163809_00_284.jpg,2025-09-19T16:38:14+02:00,2025-09-19T14:38:14+00:00,46.68545530177653,16.28617549315095,TP6-TP7,,TP6,0.39067809895940825,11818.357343576285,59.091786717881426,98910.3095330065,517.9883963167457,-517.9883963167457
IMG__164053_00_298.jpg,2025-09-19T16:40:59+02:00,2025-09-19T14:40:59+00:00,46.64455530233681,16.32613512687385,TP6-TP7,,TP6,0.5716441481449166,17292.74006947297,86.46370034736485,104384.69225890319,629.1049284886295,-629.1049284886295
IMG__164535_00_322.jpg,2025-09-19T16:45:40+02:00,2025-09-19T14:45:40+00:00,46.56456612981856,16.4124293345958,TP6-TP7,,TP6,0.937354504407586,28355.80115754253,141.77900578771266,115447.75334697275,337.2383880379209,-337.2383880379209
IMG__164633_00_327 TP7.jpg,2025-09-19T16:46:39+02:00,2025-09-19T14:46:39+00:00,46.54832229483873,16.429974124766886,TP6-TP7,TP7,TP6,1.0,30250.882696150882,151.2544134807544,117342.8348855811,448.1133051727837,-448.1133051727837
