name,id,type,country,latitude,longitude
GASPI,GASPI,VFR Point,Slovenia,N46 22 19,E014 30 00
GEMO,GEMO,VFR Point,Slovenia,N45 39 08,E013 52 20
GEMKA,GEMKA,VFR Point,Slovenia,N45 33 13,E014 12 15
GERDI,GERDI,VFR Point,Slovenia,N45 51 24,E013 34 37
GROD,GROD,VFR Point,Slovenia,N45 28 32,E014 08 02
GROPA,GROPA,VFR Point,Slovenia,N45 44 23,E013 52 35
GORPA,GORPA,VFR Point,Slovenia,N45 48 23,E015 21 12
IGDIR,IGDIR,VFR Point,Slovenia,N46 27 56,E015 11 20
KEGBU,KEGBU,VFR Point,Slovenia,N45 47 56,E014 45 53
KLANI,KLANI,VFR Point,Slovenia,N46 00 51,E014 48 31
KRAVA,KRAVA,VFR Point,Slovenia,N46 32 17,E014 49 11
LULUD,LULUD,VFR Point,Slovenia,N45 33 03,E013 41 00
MAREN,MAREN,VFR Point,Slovenia,N46 00 18,E014 04 12
MUREG,MUREG,VFR Point,Slovenia,N46 42 24,E015 46 29
NEMEG,NEMEG,VFR Point,Slovenia,N45 34 29,E015 17 53
NIGAT,NIGAT,VFR Point,Slovenia,N45 54 44,E014 14 33
NIPEL,NIPEL,VFR Point,Slovenia,N46 29 22,E014 01 57
OBUTI,OBUTI,VFR Point,Slovenia,N45 49 22,E014 16 27
OTTIX,OTTIX,VFR Point,Slovenia,N45 35 09,E013 42 01
PETOV,PETOV,VFR Point,Slovenia,N46 17 48,E015 54 42
PETOT,PETOT,VFR Point,Slovenia,N46 17 12,E015 51 33
RADLY,RADLY,VFR Point,Slovenia,N45 39 49,E013 12 33
ROBIG,ROBIG,VFR Point,Slovenia,N46 20 22,E013 25 38
ROLBA,ROLBA,VFR Point,Slovenia,N45 50 25,E015 39 18
SAVAR,SAVAR,VFR Point,Slovenia,N46 03 35,E014 49 22
SOVOX,SOVOX,VFR Point,Slovenia,N45 58 06,E013 36 50
TEBRO,TEBRO,VFR Point,Slovenia,N46 13 08,E013 28 22
TOSKA,TOSKA,VFR Point,Slovenia,N46 03 24,E014 23 15
TUTKI,TUTKI,VFR Point,Slovenia,N45 42 31,E013 49 36
UNBEK,UNBEK,VFR Point,Slovenia,N45 58 24,E013 41 12
URAVA,URAVA,VFR Point,Slovenia,N45 28 58,E013 31 56
VRNAX,VRNAX,VFR Point,Slovenia,N45 52 28,E014 03 53
ME1,ME1,VFR Point,Slovenia,N46 23 38,E015 33 33
ME2,ME2,VFR Point,Slovenia,N46 23 40,E016 00 06
MN1,MN1,VFR Point,Slovenia,N46 35 27,E015 33 34
MN2,MN2,VFR Point,Slovenia,N46 35 27,E015 50 34
MW1,MW1,VFR Point,Slovenia,N46 32 37,E015 30 00
FICKO,FICKO,VFR Point,Slovenia,N46 41 01,E015 53 00
GOLVA,GOLVA,VFR Point,Slovenia,N46 42 32,E015 09 09
ME3,ME3,VFR Point,Slovenia,N46 19 06,E015 51 13
ME4,ME4,VFR Point,Slovenia,N46 32 02,E016 11 01
MS2,MS2,VFR Point,Slovenia,N46 19 06,E015 37 24
MS3,MS3,VFR Point,Slovenia,N46 31 58,E015 48 26
TISKO,TISKO,VFR Point,Slovenia,N46 45 57,E015 05 31
MS1,MS1,VFR Point,Slovenia,N46 14 23,E015 36 14
NIMIS,NIMIS,VFR Point,Slovenia,N46 14 23,E015 36 14
PETOV,PETOV,VFR Point,Slovenia,N46 18 35,E015 55 34
BUGSY,BUGSY,VFR Point,Slovenia,N45 27 56,E013 46 24
DRAGA,DRAGA,VFR Point,Slovenia,N45 35 11,E013 48 30
PSI1,PSI1,VFR Point,Slovenia,N45 24 35,E013 39 24
PSI2,PSI2,VFR Point,Slovenia,N45 26 51,E013 41 39
VICKY,VICKY,VFR Point,Slovenia,N45 37 44,E013 15 15
AJE1,AJE1,VFR Point,Slovenia,N45 52 52,E014 00 06
AJE2,AJE2,VFR Point,Slovenia,N45 55 20,E013 51 31
COL,COL,VFR Point,Slovenia,N45 59 30,E013 58 43
KRIŽ,KRIŽ,VFR Point,Slovenia,N45 53 24,E013 51 15
BLED,BLED,VFR Point,Slovenia,N46 21 24,E014 17 35
BLBS,BLBS,VFR Point,Slovenia,N46 24 16,E014 05 35
BLES,BLES,VFR Point,Slovenia,N46 18 14,E014 11 25
BLBW,BLBW,VFR Point,Slovenia,N46 20 49,E014 06 13
BOVEC,BOVEC,VFR Point,Slovenia,N46 20 31,E013 40 40
SOTA,SOTA,VFR Point,Slovenia,N46 18 14,E013 28 54
CELE,CELE,VFR Point,Slovenia,N46 13 15,E015 18 56
CELN,CELN,VFR Point,Slovenia,N46 19 08,E015 17 34
CELW,CELW,VFR Point,Slovenia,N46 09 23,E015 12 43
OBST,OBST,VFR Point,Slovenia,N46 15 28,E015 07 18
GRAD,GRAD,VFR Point,Slovenia,N45 51 46,E015 09 10
NMS,NMS,VFR Point,Slovenia,N45 43 31,E015 08 28
POST,POST,VFR Point,Slovenia,N45 58 40,E014 11 50
UNA1,UNA1,VFR Point,Slovenia,N45 44 43,E014 08 20
POE1,POE1,VFR Point,Slovenia,N45 49 12,E014 17 24
PTE,PTE,VFR Point,Slovenia,N46 25 09,E016 06 45
PTN,PTN,VFR Point,Slovenia,N46 29 03,E015 58 14
PTS,PTS,VFR Point,Slovenia,N46 23 40,E015 54 30
PTW,PTW,VFR Point,Slovenia,N46 26 36,E015 55 37
SGN,SGN,VFR Point,Slovenia,N46 26 37,E015 12 12
SGNE,SGNE,VFR Point,Slovenia,N46 29 44,E015 11 44
SGNW,SGNW,VFR Point,Slovenia,N46 30 40,E015 01 10
SGSW,SGSW,VFR Point,Slovenia,N46 22 40,E014 57 15
SKN,SKN,VFR Point,Slovenia,N46 22 38,E015 29 13
SOE1,SOE1,VFR Point,Slovenia,N46 21 40,E015 08 10
SOS1,SOS1,VFR Point,Slovenia,N46 25 38,E015 10 04
SOW1,SOW1,VFR Point,Slovenia,N46 25 20,E014 59 20
