name,id,type,country,latitude,longitude
Abakian-Pince Marof,,Airfield,Slovenia,N46 30 56,E16 30 13
Ajdovščina,LJAJ,Aerodrome,Slovenia,N45 53 21,E013 53 09
Andrenci,,Airfield,Slovenia,N46 32 51,E15 57 03
Bela krajina-Prilozje,,Airfield,Slovenia,N45 35 19,E15 15 34
Bovec,LJBO,Aerodrome,Slovenia,N46 19 44,E013 32 56
Brezovica-Brezovica,,Airfield,Slovenia,N46 01 04,E14 25 22
Celje,LJCL,Aerodrome,Slovenia,N46 14 45,E015 13 21
Cerklje ob Krki,LJCE,Aerodrome,Slovenia,N45 54 00,E015 31 49
Cerknica-Marof,,Airfield,Slovenia,N45 46 40,E14 23 17
Cerkvenjak-Čagona,,Airfield,Slovenia,N46 32 56,E15 54 53
Depala vas,,Airfield,Slovenia,N46 07 36,E14 34 14
Divača,LJDI,Aerodrome,Slovenia,N45 40 59,E014 00 10
Heliport SB Celje,LJHC,Heliport,Slovenia,N46 14 03,E015 15 41
Heliport SB Izola,LJHI,Heliport,Slovenia,N46 32 39,E013 41 19
Heliport SB Slovenj Gradec,LJHS,Heliport,Slovenia,N46 30 28,E015 04 56
Heliport Jesenice,LJHJ,Heliport,Slovenia,N46 26 32,E014 02 15
Heliport UKC Ljubljana,LJHL,Heliport,Slovenia,N46 03 18,E014 31 15
Imeno-Podčetrtek,,Airfield,Slovenia,N46 07 36,E15 36 14
Kamnik-Duplica,,Airfield,Slovenia,N46 11 50,E14 34 51
Kaplja vas-Prebold,,Airfield,Slovenia,N46 14 32,E15 04 24
Lastovka-Prvenci,,Airfield,Slovenia,N46 24 26,E15 57 07
Lesce-Bled,LJBL,Aerodrome,Slovenia,N46 21 23,E014 10 28
Libelišče-Libelišče,,Airfield,Slovenia,N46 37 26,E14 57 18
Ligojna,,Airfield,Slovenia,N45 59 14,E14 18 01
Ljubljana/Brnik,LJLJ,Aerodrome,Slovenia,N46 13 28,E014 27 22
Lopata-Celje,,Airfield,Slovenia,N46 16 16,E15 14 20
Maribor/Orehova vas,LJMB,Aerodrome,Slovenia,N46 28 48,E015 41 10
Marič-Noršinci,,Airfield,Slovenia,N46 40 56,E16 12 14
Mihalovec-Dobova,,Airfield,Slovenia,N45 53 11,E15 39 06
Mostje-Lendava,,Airfield,Slovenia,N46 36 00,E16 26 13
Murska Sobota,LJMS,Aerodrome,Slovenia,N46 37 47,E016 10 32
Novi Lazi-Kočevska Reka,,Airfield,Slovenia,N45 34 12,E14 51 30
Novo Mesto,LJNM,Aerodrome,Slovenia,N45 48 09,E015 06 22
Pobrežje-Zg.Pobrežje,,Airfield,Slovenia,N46 18 15,E14 54 16
Podpeč-Podpeč,,Airfield,Slovenia,N45 58 24,E14 24 44
Portorož/Secovlje,LJPZ,Aerodrome,Slovenia,N45 28 24,E013 36 54
Postojna,LJPO,Aerodrome,Slovenia,N45 45 14,E014 11 45
Ptuj,LJPT,Aerodrome,Slovenia,N46 25 35,E015 59 20
Šentvid-Šentvid pri Stični,,Airfield,Slovenia,N45 56 39,E14 51 03
Slovenj Gradec,LJSG,Aerodrome,Slovenia,N46 28 18,E015 07 03
Slovenske Konjice,LJSK,Aerodrome,Slovenia,N46 18 38,E015 29 31
Sostro-Sostro,,Airfield,Slovenia,N46 02 35,E14 36 54
Šoštanj,LJSO,Aerodrome,Slovenia,N46 23 53,E015 02 42
Veržej-Veržej,,Airfield,Slovenia,N46 34 25,E16 11 45
Zagorje-Zagorje ob Savi,,Airfield,Slovenia,N46 08 33,E14 59 55
Feldkirchen (Ossiacher See),LOKF,Aerodrome,Austria,N46 42 31,E014 04 35
Ferlach (Glainach),LOKG,Aerodrome,Austria,N46 31 58,E014 19 51
Klagenfurt (W??rthersee),LOWK,Aerodrome,Austria,N46 38 34,E014 20 14
Notsch im Gailtal,LOKN,Aerodrome,Austria,N46 34 51,E013 37 42
Wolfsberg,LOKW,Aerodrome,Austria,N46 49 03,E014 49 30
Čakovec (Pribislavec),LDVC,Aerodrome,Croatia,N46 23 32,E016 30 01
Grobnik (Grobniško Polje),LDRG,Aerodrome,Croatia,N45 22 46,E014 30 13
Varaždin,LDVA,Aerodrome,Croatia,N46 17 39,E016 23 01
Zagreb (Lučko),LDZL,Aerodrome,Croatia,N45 46 00,E015 50 55
Zagreb (Franjo Tuđman),LDZA,Aerodrome,Croatia,N45 44 35,E016 04 08
Zvekovac,LDZE,Aerodrome,Croatia,N45 49 23,E016 30 00
Gorizia,LIPG,Aerodrome,Italy,N45 54 24,E013 35 57
Trieste (Ronchi dei Legionari),LIPQ,Aerodrome,Italy,N45 49 39,E013 28 20
BRZ,BRZ,NAVAID,Croatia,N45 25 25,E014 20 43
CL,CL,NAVAID,Slovenia,N45 53 58,E015 29 50
COK,COK,NAVAID,Slovenia,N45 54 04,E015 31 14
DOL,DOL,NAVAID,Slovenia,N46 05 03,E014 46 43
ILB,ILB,NAVAID,Slovenia,N45 33 56,E014 10 15
KFT,KFT,NAVAID,Austria,N46 35 51,E014 33 44
KOR,KOR,NAVAID,Austria,N46 47 14,E014 58 16
LBL,LBL,NAVAID,Slovenia,N46 14 19,E014 25 43
MG,MG,NAVAID,Slovenia,N46 10 24,E014 33 21
MI,MI,NAVAID,Slovenia,N46 27 46,E015 42 10
MR,MR,NAVAID,Slovenia,N46 22 18,E015 47 36
PIS,PIS,NAVAID,Croatia,N45 36 18,E015 50 38
POR,POR,NAVAID,Slovenia,N45 28 29,E013 36 44
PZ,PZ,NAVAID,Slovenia,N45 28 39,E013 36 54
RCH,RCH,NAVAID,Italy,N45 49 47,E013 28 49
RK,RK,NAVAID,Slovenia,N45 53 54,E015 23 29
STK,STK,NAVAID,Austria,N46 50 43,E015 55 55
VIW,VIW,NAVAID,Austria,N46 41 47,E013 54 54
ZAG,ZAG,NAVAID,Croatia,N45 53 44,E016 18 24
S,S,VFR Point,Slovenia,N46 08 21,E014 30 15
I,I,VFR Point,Slovenia,N46 08 30,E015 31 14
N,N,VFR Point,Slovenia,N46 10 35,E015 00 56
E,E,VFR Point,Slovenia,N46 10 35,E015 00 56
CN2,CN2,VFR Point,Slovenia,N46 08 30,E015 00 56
CNW,CNW,VFR Point,Slovenia,N46 10 41,E015 10 28
CSW,CSW,VFR Point,Slovenia,N46 01 30,E014 51 31
CSE,CSE,VFR Point,Slovenia,N45 58 37,E015 11 18
CE2,CE2,VFR Point,Slovenia,N45 58 37,E015 11 18
CS2,CS2,VFR Point,Slovenia,N46 00 18,E015 20 03
W1,W1,VFR Point,Slovenia,N46 02 52,E014 28 53
SE,SE,VFR Point,Slovenia,N46 00 17,E014 47 02
W2,W2,VFR Point,Slovenia,N45 59 52,E014 27 49
E1,E1,VFR Point,Slovenia,N46 00 17,E014 47 02
W3,W3,VFR Point,Slovenia,N46 10 17,E014 20 31
ALMAX,ALMAX,VFR Point,Slovenia,N45 35 24,E014 06 21
ARVIO,ARVIO,VFR Point,Slovenia,N45 50 57,E014 16 04
BARJE,BARJE,VFR Point,Slovenia,N46 00 18,E014 30 15
BEDOV,BEDOV,VFR Point,Slovenia,N46 15 58,E015 49 34
BREST,BREST,VFR Point,Slovenia,N46 05 06,E014 23 15
BUGEZ,BUGEZ,VFR Point,Slovenia,N45 27 56,E013 46 24
BUKOV,BUKOV,VFR Point,Slovenia,N45 59 42,E015 13 21
DRAVA,DRAVA,VFR Point,Slovenia,N46 31 58,E015 48 26
DIMLO,DIMLO,VFR Point,Slovenia,N45 59 30,E013 37 09
DOLEN,DOLEN,VFR Point,Slovenia,N45 54 11,E015 16 32
EPOMI,EPOMI,VFR Point,Slovenia,N46 01 01,E016 22 43
