label,photo_file,local_time,leg,map_mm_from_leg_start
P01,IMG_00_368-FP.jpg,2025-09-19T16:54:33+02:00,TP7-FP,80.89
P02,IMG_Banovci_SP_NO_155111_00_040.jpg,2025-09-19T15:51:16+02:00,SP-TP1,17.88
P03,IMG__155133_00_042veržej.jpg,2025-09-19T15:51:39+02:00,SP-TP1,21.89
P04,IMG__155547_00_064 TP1.jpg,2025-09-19T15:55:53+02:00,SP-TP1,55.89
P05,IMG__155940_00_084 terme nedelja.jpg,2025-09-19T15:59:45+02:00,TP1-TP2,42.34
P06,IMG__160111_00_092 TP2.jpg,2025-09-19T16:01:17+02:00,TP1-TP2,56.75
P07,IMG__160450_00_111.jpg,2025-09-19T16:04:56+02:00,TP2-TP3,34.33
P08,IMG__160708_00_123 tp3.jpg,2025-09-19T16:07:14+02:00,TP2-TP3,61.19
P09,IMG__161035_00_141.jpg,2025-09-19T16:10:40+02:00,TP3-TP4,30.71
P10,IMG__161630_00_172 TP4.jpg,2025-09-19T16:16:35+02:00,TP4-TP5,1.42
P11,IMG__161904_00_185.jpg,2025-09-19T16:19:10+02:00,TP4-TP5,20.13
P12,IMG__162319_00_207.jpg,2025-09-19T16:23:25+02:00,TP4-TP5,69.18
P13,IMG__162634_00_224 TP5.jpg,2025-09-19T16:26:39+02:00,TP4-TP5,105.28
P14,IMG__162827_00_234.jpg,2025-09-19T16:28:33+02:00,TP5-TP6,14.06
P15,IMG__162959_00_242.jpg,2025-09-19T16:30:05+02:00,TP5-TP6,30.20
P16,IMG__163206_00_253 TP6.jpg,2025-09-19T16:32:11+02:00,TP5-TP6,52.85
P17,IMG__163550_00_272.jpg,2025-09-19T16:35:56+02:00,TP6-TP7,38.30
P18,IMG__163809_00_284.jpg,2025-09-19T16:38:14+02:00,TP6-TP7,59.09
P19,IMG__164053_00_298.jpg,2025-09-19T16:40:59+02:00,TP6-TP7,86.46
P20,IMG__164535_00_322.jpg,2025-09-19T16:45:40+02:00,TP6-TP7,141.78
P21,IMG__164633_00_327 TP7.jpg,2025-09-19T16:46:39+02:00,TP6-TP7,151.25
